1	195332735	195471971	End-Chr1
1	83014746	85693720	Gap
1	0	3012657	Start-Chr1
2	181988812	182113224	End-Chr2
2	175198801	177519794	Gap
2	0	3093029	Start-Chr2
3	159923381	160039680	End-Chr3
3	0	3005504	Start-Chr3
4	156185176	156508116	End-Chr4
4	41709574	42880027	Gap
4	60442373	61830676	Gap
4	0	3085144	Start-Chr4
5	151673705	151834684	End-Chr5
5	25089459	26180413	Gap
5	93695832	95163336	Gap
5	95163388	95878797	Gap
5	0	3008399	Start-Chr5
6	149538762	149736546	End-Chr6
6	0	3074849	Start-Chr6
7	145321649	145441459	End-Chr7
7	7296452	7820886	Gap
7	7305193	7859362	Gap
7	9005471	9659096	Gap
7	14734594	15363878	Gap
7	22019143	22731095	Gap
7	20784834	21584917	Gap
7	22067751	22731095	Gap
7	22731154	23298518	Gap
7	32060156	32792577	Gap
7	38695954	39444881	Gap
7	0	3049177	Start-Chr7
8	129163892	129401213	End-Chr8
8	18531305	20905870	Gap
8	53666615	55440503	Gap
8	0	3111085	Start-Chr8
9	124130921	124595110	End-Chr9
9	0	3088282	Start-Chr9
10	130466927	130694993	End-Chr10
10	0	7343753	Start-Chr10
11	121922649	122082543	End-Chr11
11	0	3126908	Start-Chr11
12	119980072	120129022	End-Chr12
12	17906069	18591047	Gap
12	20011472	20669573	Gap
12	20669620	21183443	Gap
12	21473165	22886549	Gap
12	22839102	24356819	Gap
12	0	3095298	Start-Chr12
13	119487298	120421639	End-Chr13
13	65314779	65847360	Gap
13	65847419	66580043	Gap
13	67856326	68468234	Gap
13	91956387	92021830	Gap
13	0	3005543	Start-Chr13
14	124764975	124902244	End-Chr14
14	3292750	5736652	Gap
14	4791633	5384116	Gap
14	5839739	6491046	Gap
14	6491105	7756543	Gap
14	43495027	43634451	Gap
14	44744548	44819785	Gap
14	0	3042998	Start-Chr14
15	103602336	104043685	End-Chr15
15	0	3141692	Start-Chr15
16	98070575	98207768	End-Chr16
16	0	3013195	Start-Chr16
17	94849208	94987271	End-Chr17
17	0	3006536	Start-Chr17
18	90593198	90702639	End-Chr18
18	0	3181135	Start-Chr18
19	0	3065397	Start-Chr19
19	61337260	61431566	End-Chr19
